
fruit = apple
layer = 5_point
test accuracy = tensor(75.8333, device='cuda:1')
test accuracy = tensor(88.1667, device='cuda:1')
test accuracy = tensor(86.1667, device='cuda:1')
test accuracy = tensor(88.5000, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(82.1667, device='cuda:1')
test accuracy = tensor(88.6667, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(86.8333, device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(94.3333, device='cuda:1')
test accuracy = tensor(93.6667, device='cuda:1')
test accuracy = tensor(93.5000, device='cuda:1')
test accuracy = tensor(92.5000, device='cuda:1')
test accuracy = tensor(94.8333, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(95.1667, device='cuda:1')
test accuracy = tensor(94.6667, device='cuda:1')
test accuracy = tensor(93.5000, device='cuda:1')
test accuracy = tensor(94.1667, device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(94.5000, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(95., device='cuda:1')
test accuracy = tensor(94.8333, device='cuda:1')
test accuracy = tensor(94.6667, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(94.5000, device='cuda:1')
test accuracy = tensor(95.8333, device='cuda:1')
test accuracy = tensor(95.6667, device='cuda:1')
test accuracy = tensor(95.8333, device='cuda:1')
test accuracy = tensor(93., device='cuda:1')
test accuracy = tensor(95.5000, device='cuda:1')
test accuracy = tensor(93., device='cuda:1')
test accuracy = tensor(93.5000, device='cuda:1')
test accuracy = tensor(93., device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(94.5000, device='cuda:1')
test accuracy = tensor(94.3333, device='cuda:1')
test accuracy = tensor(94.6667, device='cuda:1')
test accuracy = tensor(93.1667, device='cuda:1')
test accuracy = tensor(94., device='cuda:1')
test accuracy = tensor(95.6667, device='cuda:1')
test accuracy = tensor(95.3333, device='cuda:1')
test accuracy = tensor(94.1667, device='cuda:1')
test accuracy = tensor(91.6667, device='cuda:1')
test accuracy = tensor(94.8333, device='cuda:1')
test accuracy = tensor(95.6667, device='cuda:1')
test accuracy = tensor(94.6667, device='cuda:1')
test accuracy = tensor(93.1667, device='cuda:1')
test accuracy = tensor(94.8333, device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(94.6667, device='cuda:1')
